Registration Number,Username,Password,Email,Phone Number,User Type
CB.EN.U4CSE20000, Maude Singh,    permission,cb.en.u4cse20000@cb.students.amrita.edu,+91-855-574-1153,STUDENT
CB.EN.U4CSE20001,Kaitlin Levy,    reduction,cb.en.u4cse20001@cb.students.amrita.edu,+91-755-588-9145,STUDENT
CB.EN.U4CSE20002,Lacy Murillo,    fascinate,cb.en.u4cse20002@cb.students.amrita.edu,+91-855-537-6880,STUDENT
CB.EN.U4CSE20003,Tracey Curry,    interference,cb.en.u4cse20003@cb.students.amrita.edu,+91-855-554-9114,STUDENT
CB.EN.U4CSE20004,Alexandria Meza,    progressive,cb.en.u4cse20004@cb.students.amrita.edu,+91-755-505-0369,STUDENT
CB.EN.U4CSE20005,Jospeh Hurst,    systematic,cb.en.u4cse20005@cb.students.amrita.edu,+91-855-532-8376,STUDENT
CB.EN.U4CSE20006,Alice Sheppard,    chocolate,cb.en.u4cse20006@cb.students.amrita.edu,+91-755-530-2351,STUDENT
CB.EN.U4CSE20007,Mario Wagner,    democratic,cb.en.u4cse20007@cb.students.amrita.edu,+91-855-582-0108,STUDENT
CB.EN.U4CSE20008,Allan Walker,    exhibition,cb.en.u4cse20008@cb.students.amrita.edu,+91-855-597-8732,STUDENT
CB.EN.U4CSE20009,Jeremiah Burton,    professor,cb.en.u4cse20009@cb.students.amrita.edu,+91-855-525-7266,STUDENT
CB.EN.U4CSE20010,Leif Kidd,    therapist,cb.en.u4cse20010@cb.students.amrita.edu,+91-975-553-7159,STUDENT
CB.EN.U4CSE20011,Angelita Durham,    contraction,cb.en.u4cse20011@cb.students.amrita.edu,+91-975-552-1942,STUDENT
CB.EN.U4CSE20012,Morton Merritt,    assignment,cb.en.u4cse20012@cb.students.amrita.edu,+91-855-578-8313,STUDENT
CB.EN.U4CSE20013,Johnny Drake,    ambiguity,cb.en.u4cse20013@cb.students.amrita.edu,+91-755-532-5687,STUDENT
CB.EN.U4CSE20014,Franklyn Larsen,    human body,cb.en.u4cse20014@cb.students.amrita.edu,+91-755-513-3279,STUDENT
CB.EN.U4CSE20015,Jonathan Cherry,    administration,cb.en.u4cse20015@cb.students.amrita.edu,+91-755-544-0405,STUDENT
CB.EN.U4CSE20016,Eliseo Gonzalez,    condition,cb.en.u4cse20016@cb.students.amrita.edu,+91-905-557-3537,STUDENT
CB.EN.U4CSE20017,Lucinda Ellis,    construct,cb.en.u4cse20017@cb.students.amrita.edu,+91-755-557-1043,STUDENT
CB.EN.U4CSE20018,Casandra Lucas,    effective,cb.en.u4cse20018@cb.students.amrita.edu,+91-855-527-9034,STUDENT
CB.EN.U4CSE20019,Bethany Carlson,    mathematics,cb.en.u4cse20019@cb.students.amrita.edu,+91-855-524-9098,STUDENT
CB.EN.U4CSE20020,Luella Flynn,    coalition,cb.en.u4cse20020@cb.students.amrita.edu,+91-855-500-1098,STUDENT
CB.EN.U4CSE20100,Ulysses Foley,    relinquish,cb.en.u4cse20100@cb.students.amrita.edu,+91-855-510-5648,STUDENT
CB.EN.U4CSE20101,Eloy Wong,    identification,cb.en.u4cse20101@cb.students.amrita.edu,+91-955-556-7621,STUDENT
CB.EN.U4CSE20102,Noemi Calderon,    restaurant,cb.en.u4cse20102@cb.students.amrita.edu,+91-855-569-8292,STUDENT
CB.EN.U4CSE20103,Wyatt Hodge,    deteriorate,cb.en.u4cse20103@cb.students.amrita.edu,+91-965-550-6717,STUDENT
CB.EN.U4CSE20104,Keisha Mccann,    communication,cb.en.u4cse20104@cb.students.amrita.edu,+91-905-558-5709,STUDENT
CB.EN.U4CSE20105,Sal Salazar,    empirical,cb.en.u4cse20105@cb.students.amrita.edu,+91-855-538-0678,STUDENT
CB.EN.U4CSE20106,Jed Esparza,    overcharge,cb.en.u4cse20106@cb.students.amrita.edu,+91-755-561-3601,STUDENT
CB.EN.U4CSE20107,Meredith Santiago,    stimulation,cb.en.u4cse20107@cb.students.amrita.edu,+91-925-552-2460,STUDENT
CB.EN.U4CSE20108,Twila Mendez,    continuation,cb.en.u4cse20108@cb.students.amrita.edu,+91-855-573-0258,STUDENT
CB.EN.U4CSE20109,Jill Lozano,    earthquake,cb.en.u4cse20109@cb.students.amrita.edu,+91-915-556-7371,STUDENT
CB.EN.U4CSE20110,Lillie Bullock,    engagement,cb.en.u4cse20110@cb.students.amrita.edu,+91-755-599-2404,STUDENT
CB.EN.U4CSE20111,Ambrose Frey,    ambiguous,cb.en.u4cse20111@cb.students.amrita.edu,+91-975-552-1597,STUDENT
CB.EN.U4CSE20112,Robyn Hoffman,    negotiation,cb.en.u4cse20112@cb.students.amrita.edu,+91-955-559-0134,STUDENT
CB.EN.U4CSE20113,Teresa Wright,    discrimination,cb.en.u4cse20113@cb.students.amrita.edu,+91-855-581-7385,STUDENT
CB.EN.U4CSE20114,Stacey Olsen,    timetable,cb.en.u4cse20114@cb.students.amrita.edu,+91-855-581-9645,STUDENT
CB.EN.U4CSE20115,Rudolph Cain,    intention,cb.en.u4cse20115@cb.students.amrita.edu,+91-755-532-5271,STUDENT
CB.EN.U4CSE20116,Jenifer Ho,    anticipation,cb.en.u4cse20116@cb.students.amrita.edu,+91-855-570-2288,STUDENT
CB.EN.U4CSE20117,Buster Johns,    emergency,cb.en.u4cse20117@cb.students.amrita.edu,+91-955-551-6330,STUDENT
CB.EN.U4CSE20118,Kellie Acevedo,    productive,cb.en.u4cse20118@cb.students.amrita.edu,+91-855-580-2442,STUDENT
CB.EN.U4CSE20119,Herschel Allen,    folk music,cb.en.u4cse20119@cb.students.amrita.edu,+91-945-552-6317,STUDENT
CB.EN.U4CSE20120,Tobias Watkins,    nationalism,cb.en.u4cse20120@cb.students.amrita.edu,+91-855-514-1735,STUDENT
CB.EN.U4CSE20200,Ingrid Morales,    eliminate,cb.en.u4cse20200@cb.students.amrita.edu,+91-755-524-1203,STUDENT
CB.EN.U4CSE20201,Tomas Castaneda,    depression,cb.en.u4cse20201@cb.students.amrita.edu,+91-965-554-5593,STUDENT
CB.EN.U4CSE20202,Archie Terrell,    embarrassment,cb.en.u4cse20202@cb.students.amrita.edu,+91-945-551-4251,STUDENT
